pid,season,position,gp,war_indiv
8475842,2021,C,64,0.49
8479941,2021,R,45,0.436
8475848,2021,R,56,0.975
8479944,2021,L,69,-0.095
8479945,2021,D,43,0.232
8475852,2021,G,20,0
8475855,2021,R,96,0.659
8471774,2021,G,1,0
8479968,2021,C,31,0.206
8479972,2021,C,3,-0.015
8479973,2021,G,13,0
8479974,2021,C,25,0.136
8479976,2021,D,9,0.064
8479977,2021,R,95,1.447
8479979,2021,G,55,0
8475883,2021,G,52,0
8479981,2021,L,43,-0.184
8479980,2021,D,52,0.611
8479983,2021,D,63,0.074
8479984,2021,D,69,0.348
8479985,2021,D,9,-0.044
8479986,2021,R,23,0.161
8479982,2021,D,6,-0.038
8479987,2021,C,73,0.341
8471794,2021,C,88,0.661
8479991,2021,C,41,-0.174
8479992,2021,C,80,0.667
8479994,2021,C,7,-0.102
8479996,2021,C,10,-0.052
8479998,2021,D,64,0.093
8479999,2021,C,40,0.433
8480001,2021,D,29,0.009
8480002,2021,C,70,2.15
8480003,2021,C,56,0.595
8475906,2021,D,81,1.85
8480005,2021,L,53,-0.268
8480007,2021,R,30,0.132
8480008,2021,C,28,0.315
8475913,2021,R,37,1.273
8471817,2021,R,87,-0.596
8480011,2021,C,40,0.083
8480009,2021,R,78,0.515
8480012,2021,C,80,2.804
8480014,2021,C,27,0.108
8480015,2021,R,63,0.663
8475920,2021,G,2,0
8480018,2021,C,82,1.766
8480019,2021,L,10,0.096
8480021,2021,C,15,0.017
8480022,2021,G,1,0
8480023,2021,C,84,2.916
8480025,2021,R,55,0.168
8480027,2021,L,81,4.072
8480028,2021,C,55,0.141
8480029,2021,L,79,1.085
8480031,2021,L,52,0.044
8480035,2021,D,60,0.429
8480036,2021,D,77,1.579
8480037,2021,C,6,-0.008
8480039,2021,C,92,1.011
8480041,2021,D,1,-0.002
8480043,2021,D,63,0.973
8480045,2021,G,9,0
8480049,2021,D,15,0.19
8480051,2021,G,12,0
8480053,2021,C,19,0.233
8480054,2021,D,1,0.064
8475958,2021,C,10,0.181
8480056,2021,D,9,0.01
8480058,2021,D,4,-0.012
8480060,2021,C,35,0.117
8480064,2021,C,66,2.626
8471873,2021,D,74,0.482
8475968,2021,R,11,-0.11
8480068,2021,C,57,0.448
8480069,2021,D,97,5.571
8480070,2021,D,8,0.007
8480071,2021,D,21,0.144
8480072,2021,C,20,0.094
8480073,2021,D,53,0.343
8480074,2021,L,36,0.768
8480078,2021,C,87,1.037
8471887,2021,R,75,1.481
8480083,2021,L,1,-0.009
8480087,2021,R,1,0.009
8480113,2021,L,86,1.684
8480144,2021,C,89,1.336
8480145,2021,D,77,1.341
8480157,2021,D,27,0.26
8480160,2021,D,36,-0.019
8480172,2021,D,93,0.501
8480184,2021,D,63,0.242
8480185,2021,C,88,0.812
8480188,2021,L,14,0.37
8480192,2021,D,4,-0.024
8480193,2021,G,4,0
8480196,2021,D,73,-0.156
8480205,2021,C,41,0.251
8480208,2021,R,46,1.761
8480216,2021,C,68,0.539
8480220,2021,L,16,0.343
8480222,2021,D,36,0.45
8480226,2021,R,37,-0.049
8480231,2021,D,6,-0.042
8467950,2021,G,31,0
8480259,2021,C,2,-0.022
8480280,2021,G,46,0
8480281,2021,R,40,-0.112
8480289,2021,C,27,0.053
8480292,2021,R,13,0.046
8480293,2021,D,5,-0.041
8480304,2021,L,3,0.023
8480306,2021,D,16,-0.035
8480313,2021,G,19,0
8480326,2021,C,11,0.083
8476234,2021,G,1,0
8480336,2021,D,6,0.083
8480355,2021,C,16,0.08
8480373,2021,G,2,0
8476278,2021,C,65,0.614
8476285,2021,C,5,-0.004
8480382,2021,G,35,0
8476288,2021,C,32,0.007
8480384,2021,C,8,-0.076
8476292,2021,L,100,2.778
8476312,2021,D,87,0.731
8476316,2021,G,24,0
8476323,2021,L,10,-0.112
8480420,2021,G,8,0
8476326,2021,R,21,-0.139
8476329,2021,C,74,0.825
8476331,2021,D,76,0.008
8480434,2021,D,71,1.206
8476341,2021,G,46,0
8476343,2021,G,2,0
8476345,2021,C,24,0.166
8476346,2021,L,94,6.518
8480441,2021,R,6,0.074
8480443,2021,C,13,0.009
8480448,2021,C,41,0.203
8480459,2021,C,82,1.238
8476368,2021,D,9,-0.05
8480466,2021,D,1,-0.005
8480467,2021,D,8,0.082
8476372,2021,D,43,-0.022
8479322,2021,R,1,-0.005
8476374,2021,C,77,1.208
8476389,2021,C,95,2.749
8476390,2021,C,1,0.039
8476391,2021,C,2,-0.021
8476392,2021,C,79,0.748
8476393,2021,C,71,0.558
8476396,2021,C,2,-0.016
8476399,2021,L,93,1.121
8476400,2021,R,17,0.118
8476404,2021,C,6,-0.013
8476410,2021,L,7,0.128
8476412,2021,G,43,0
8476415,2021,C,5,-0.073
8476419,2021,C,77,1.113
8476422,2021,D,75,0.421
8476428,2021,R,7,-0.052
8476429,2021,D,61,0.437
8476432,2021,C,59,1.583
8476433,2021,G,1,0
8476434,2021,G,56,0
8476436,2021,R,12,-0.142
8476437,2021,C,47,0.645
8476438,2021,L,90,2.23
8476439,2021,R,48,-0.168
8476441,2021,D,24,0.154
8476442,2021,L,70,-0.037
8476448,2021,C,67,1.256
8476449,2021,D,7,-0.007
8476453,2021,R,70,4.406
8476454,2021,C,79,2.851
8476455,2021,L,71,3.642
8476456,2021,L,90,5.544
8476457,2021,D,82,0.476
8476458,2021,C,93,2.116
8476459,2021,C,101,4.121
8476460,2021,C,67,2.423
8476461,2021,C,29,0.545
8476462,2021,D,62,1.442
8476463,2021,D,79,1.097
8476466,2021,L,1,-0.015
8476467,2021,D,72,0.494
8476468,2021,C,80,4.802
8476469,2021,R,60,0.095
8476470,2021,D,24,0.112
8476473,2021,D,57,0.025
8476474,2021,R,2,-0.039
8472382,2021,D,69,-0.006
8476479,2021,C,86,2.284
8476480,2021,C,82,0.901
8476483,2021,R,72,1.597
8476495,2021,C,1,-0.005
8480591,2021,G,1,0
8476505,2021,C,2,-0.031
8476509,2021,G,2,0
8480979,2021,C,10,0.109
8476525,2021,D,38,0.324
8476539,2021,R,76,2.993
8476545,2021,R,2,-0.016
8471215,2021,C,48,2.17
8476624,2021,C,88,1.115
8480727,2021,D,59,0.733
8480748,2021,L,11,0.045
8480762,2021,L,67,0.652
8480776,2021,R,1,-0.001
8480789,2021,R,73,0.877
8480796,2021,D,85,0.264
8480797,2021,L,63,1.019
8480798,2021,C,67,0.398
8480800,2021,D,76,2.751
8480801,2021,L,79,2.537
8480802,2021,C,87,0.331
8480803,2021,D,97,2.386
8480806,2021,C,80,0.832
8480807,2021,D,42,0.236
8480813,2021,C,66,-0.035
8480814,2021,D,2,0
8480817,2021,D,102,0.547
8480821,2021,R,74,0.608
8480822,2021,R,6,-0.08
8480823,2021,D,1,-0.009
8480829,2021,C,80,0.907
8480830,2021,R,92,3.551
8480831,2021,D,15,-0.024
8480835,2021,C,2,0.116
8480839,2021,D,80,2.007
8480842,2021,C,1,-0.007
8480843,2021,G,4,0
8480844,2021,L,1,-0.015
8480845,2021,C,62,-0.132
8480846,2021,L,10,-0.106
8480847,2021,D,39,-0.006
8480848,2021,C,2,-0.042
8480849,2021,C,60,0.715
8480853,2021,C,1,-0.011
8480855,2021,C,10,0.043
8480858,2021,C,1,-0.01
8480860,2021,D,17,0.034
8480863,2021,L,10,-0.023
8480865,2021,D,80,2.31
8480870,2021,C,18,0.059
8480871,2021,D,52,0.938
8480873,2021,D,51,0.565
8476779,2021,D,50,0.549
8480878,2021,D,25,0.082
8480879,2021,D,8,-0.004
8480883,2021,D,66,0.603
8480884,2021,D,15,0.125
8480887,2021,D,10,-0.004
8476792,2021,D,67,1.921
8480890,2021,C,13,0.055
8480901,2021,C,44,0.201
8476807,2021,D,8,0.079
8480913,2021,D,1,-0.021
8476822,2021,C,88,0.313
8476826,2021,C,74,1.442
8480925,2021,G,28,0
8480945,2021,D,5,0.009
8476850,2021,D,37,-0.01
8480947,2021,G,32,0
8476851,2021,C,60,0.475
8476853,2021,D,89,3.427
8480950,2021,D,84,0.251
8476854,2021,D,75,0.743
8476856,2021,D,63,0.962
8476867,2021,C,30,0.173
8476869,2021,D,96,1.609
8476870,2021,C,1,-0.005
8476871,2021,L,68,1.28
8476872,2021,C,67,0.835
8476873,2021,L,19,0.153
8476874,2021,D,73,-0.112
8476875,2021,D,81,1.594
8476876,2021,G,4,0
8476878,2021,C,56,0.411
8476879,2021,D,94,1.041
8476880,2021,R,79,1.78
8476881,2021,C,82,2.511
8476882,2021,C,91,3.099
8476883,2021,G,86,0
8480980,2021,C,36,0.106
8476885,2021,D,101,1.902
8476886,2021,D,19,0.066
8476887,2021,L,73,4.142
8480981,2021,G,2,0
8476889,2021,C,84,0.192
8476884,2021,D,11,0.11
8476891,2021,D,78,0.595
8476892,2021,D,92,1.63
8480988,2021,C,7,0.104
8480990,2021,D,2,-0.011
8476897,2021,C,59,0.612
8476899,2021,G,20,0
8476902,2021,D,83,0.702
8476903,2021,G,20,0
8476904,2021,G,27,0
8476905,2021,C,79,2.01
8476906,2021,D,82,2.098
8476907,2021,L,14,0
8481004,2021,L,15,-0.135
8481003,2021,D,2,-0.015
8476913,2021,C,49,0.315
8476914,2021,G,22,0
8476915,2021,L,27,-0.101
8476917,2021,D,78,0.826
8481014,2021,D,79,0.074
8476919,2021,C,70,0.069
8476918,2021,L,68,0.131
8476921,2021,L,65,0.194
8481019,2021,C,2,-0.013
8481020,2021,G,2,0
8476925,2021,C,83,0.986
8476923,2021,D,80,1.718
8476927,2021,C,72,1.098
8476924,2021,R,6,0.046
8476931,2021,D,75,0.703
8476932,2021,G,28,0
8476934,2021,L,71,0.552
8481031,2021,G,3,0
8481032,2021,L,7,0.053
8481033,2021,G,6,0
8476945,2021,G,66,0
8476952,2021,C,77,0.124
8476958,2021,D,93,1.965
8476960,2021,C,34,0.783
8481058,2021,R,14,0.088
8481059,2021,D,26,0.368
8481061,2021,C,50,0.034
8476966,2021,C,3,0.029
8476967,2021,D,90,0.721
8481068,2021,C,76,1.764
8476975,2021,C,24,-0.017
8476979,2021,D,59,0.568
8476981,2021,R,69,0.861
8481077,2021,L,14,0.004
8476983,2021,D,1,0.012
8476982,2021,C,5,0.007
8476988,2021,D,68,0.181
8476989,2021,D,9,0.048
8476994,2021,C,62,0.587
8481093,2021,L,4,0.041
8476999,2021,G,43,0
8477003,2021,R,4,-0.049
8481102,2021,L,8,-0.076
8477015,2021,R,64,1.278
8477018,2021,D,58,0.41
8477021,2021,C,89,1.986
8481122,2021,D,53,-0.007
8477034,2021,D,44,0.021
8481133,2021,L,1,-0.021
8481147,2021,C,37,-0.03
8481161,2021,D,8,0.015
8477070,2021,C,39,-0.256
8481167,2021,D,2,-0.011
8477073,2021,L,58,-0.152
8481178,2021,D,10,-0.094
8481186,2021,R,98,0.497
8477126,2021,C,20,0.052
8481239,2021,L,4,-0.047
8477149,2021,R,7,0.021
8477180,2021,G,12,0
8477202,2021,G,11,0
8477205,2021,D,38,0.041
8477210,2021,R,32,0.06
8477215,2021,D,59,-0.031
8477220,2021,D,77,0.992
8477240,2021,C,26,0.106
8477244,2021,D,85,0.215
8477290,2021,L,83,-0.01
8477293,2021,G,41,0
8465009,2021,D,72,0.1
8477320,2021,L,32,0.078
8477330,2021,L,78,0.986
8477335,2021,D,42,0.117
8481433,2021,L,15,0.046
8477341,2021,L,71,1.306
8477343,2021,D,2,-0.023
8481441,2021,C,12,0.312
8477346,2021,D,90,2.031
8477353,2021,C,73,0.041
8477355,2021,D,37,0.124
8477359,2021,D,40,-0.052
8477361,2021,G,38,0
8477365,2021,D,67,0.425
8481461,2021,D,24,0.157
8477369,2021,D,64,0.688
8477380,2021,C,23,-0.106
8481477,2021,C,87,0.69
8477384,2021,D,53,0.083
8481481,2021,C,77,0.729
8477392,2021,R,11,-0.119
8481489,2021,D,1,-0.013
8477401,2021,C,55,-0.354
8477402,2021,L,85,3.741
8477404,2021,C,83,5.074
8477406,2021,C,67,0.602
8477407,2021,L,82,2.977
8477409,2021,C,88,2.75
8477416,2021,R,80,2.49
8477419,2021,L,25,-0.203
8481517,2021,R,37,0.091
8481518,2021,L,7,0.177
8481519,2021,G,32,0
8477424,2021,G,67,0
8477425,2021,L,3,-0.077
8481521,2021,D,15,0.152
8481522,2021,C,57,0.293
8481523,2021,C,70,0.258
8481524,2021,D,50,1.093
8477426,2021,L,103,1.696
8481527,2021,D,1,-0.011
8477429,2021,C,92,2.735
8481528,2021,C,79,1.1
8477433,2021,D,19,-0.067
8477435,2021,D,75,1.066
8481532,2021,C,8,-0.09
8481533,2021,C,75,2.56
8481530,2021,L,1,-0.001
8481535,2021,L,60,0.653
8481537,2021,D,5,0.079
8481540,2021,R,67,1.997
8477444,2021,L,92,2.324
8481542,2021,D,82,2.243
8477447,2021,D,78,2.481
8477446,2021,C,53,0.364
8481544,2021,G,2,0
8481546,2021,D,30,0.274
8477450,2021,C,62,-0.169
8477451,2021,R,88,2.708
8477454,2021,L,79,0.194
8481550,2021,L,3,0.021
8477456,2021,L,90,1.221
8481552,2021,D,1,-0.004
8481554,2021,R,62,0.579
8481555,2021,D,6,0.007
8477460,2021,C,38,0.205
8481557,2021,L,53,1.594
8477462,2021,D,64,0.084
8477463,2021,D,1,-0.002
8477464,2021,C,18,-0.052
8481559,2021,C,49,2.723
8481560,2021,R,87,0.934
8477465,2021,G,59,0
8477461,2021,L,1,-0.013
8477471,2021,D,9,-0.044
8477472,2021,D,3,0.092
8481568,2021,D,15,0.011
8477473,2021,R,14,-0.095
8477474,2021,D,2,-0.018
8477476,2021,L,94,1.964
8481572,2021,D,12,0.197
8477478,2021,L,63,0.624
8477479,2021,L,68,2.868
8477480,2021,G,19,0
8481577,2021,R,79,1.012
8477482,2021,L,80,0.093
8481575,2021,D,16,0.15
8481580,2021,L,72,0.666
8481581,2021,D,34,0.063
8477484,2021,G,6,0
8481582,2021,L,10,-0.054
8477488,2021,D,84,0.973
8477492,2021,C,85,5.873
8477493,2021,C,77,4.754
8477494,2021,L,34,0.635
8477495,2021,D,78,2.152
8477496,2021,C,94,4.164
8477497,2021,C,65,0.429
8477498,2021,D,86,1.661
8477499,2021,D,66,0.51
8477500,2021,C,70,2.035
8477501,2021,R,82,2.968
8481596,2021,C,5,-0.019
8477503,2021,C,86,1.567
8481599,2021,D,16,-0.082
8477505,2021,C,80,0.53
8477506,2021,D,56,0.934
8477504,2021,D,79,1.416
8481604,2021,R,2,-0.004
8481600,2021,D,70,-0.02
8477507,2021,D,86,0.704
8477511,2021,R,43,1.042
8477512,2021,C,8,-0.036
8477508,2021,C,77,0.381
8473415,2021,D,2,-0.006
8473419,2021,L,77,4.077
8481609,2021,D,32,-0.032
8481611,2021,G,7,0
8473422,2021,L,71,-0.067
8481606,2021,D,27,0.195
8481617,2021,R,79,0.543
8481618,2021,C,83,1.085
8477527,2021,L,32,-0.059
8481624,2021,R,60,1.699
8481626,2021,C,18,0.079
8477541,2021,D,2,-0.006
8473446,2021,D,97,1.137
8473449,2021,R,74,1.36
8481641,2021,L,63,-0.138
8473453,2021,C,92,0.077
8473463,2021,R,1,-0.027
8481656,2021,L,33,0.167
8481655,2021,R,3,-0.06
8481657,2021,C,1,0
8473473,2021,L,94,-0.049
8477573,2021,L,34,0.367
8473503,2021,G,48,0
8473504,2021,R,59,0.106
8473507,2021,D,68,0.851
8481701,2021,D,9,0.062
8481703,2021,R,1,0.052
8473512,2021,R,85,2.567
8481708,2021,D,12,0.062
8481711,2021,L,23,-0.052
8481720,2021,C,9,0.003
8473533,2021,C,92,1.853
8477631,2021,L,1,-0.015
8473541,2021,G,10,0
8473544,2021,C,47,0.486
8473548,2021,R,82,1.752
8481740,2021,R,2,-0.034
8469455,2021,C,76,0.759
8473563,2021,C,53,1.024
8473575,2021,G,31,0
8473604,2021,C,71,1.047
8473618,2021,C,25,0.27
8481815,2021,R,1,-0.004
8481827,2021,L,2,-0.057
8481849,2021,D,3,-0.036
8469608,2021,G,44,0
8477810,2021,D,51,0.078
8477831,2021,G,2,0
8477839,2021,L,77,1.62
8477845,2021,D,78,0.516
8477846,2021,C,67,0.093
8477851,2021,D,45,0.063
8477887,2021,C,44,0.214
8477903,2021,R,82,0.683
8477919,2021,C,82,1.712
8477930,2021,L,103,0.694
8477931,2021,L,82,0.404
8477932,2021,D,71,2.888
8477933,2021,C,88,4.122
8477934,2021,C,96,6.552
8477935,2021,C,81,2.087
8477936,2021,L,1,-0.011
8477938,2021,D,36,-0.012
8477939,2021,R,88,4.06
8477940,2021,L,62,2.686
8477941,2021,L,57,0.649
8477942,2021,L,88,4.246
8477943,2021,L,23,0.045
8477944,2021,L,26,0.761
8477946,2021,C,71,2.623
8477947,2021,L,66,1.016
8477948,2021,D,80,0.992
8477949,2021,R,50,1.714
8477950,2021,D,78,2.644
8477951,2021,C,63,2.267
8477952,2021,C,56,0.903
8477953,2021,R,86,0.81
8477955,2021,L,74,2.056
8477956,2021,R,79,4.163
8482055,2021,L,24,0.163
8477960,2021,R,85,3.079
